DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5372935;1;3;1;70;2;3;54;1; ;2;4;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;525000;908526;2; ;41;95;95;1;1;02;4111;68;995,584919631381
5372939;1;2;1;70;2;4;24;3; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;02;9700;18;2957,20166268778
5372942;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;53; ;1;1;02;.;18;739,300415671945
5372946;1;1;1;70;2;24;48;3; ;2;33;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;2;02;9700;18;868,048251215418
5372948;1;2;1;70;2;52;48;1; ;2;62;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;88;13;13;1;2;02;8890;18;1394,97342409163
5373383;1;1;1;70;2;5;40;4; ;2;5;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;13;59;1;1;02;8511;44;1375,23124152189
5373386;1;2;1;70;2;20;60;4; ;2;24;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;47;45;45;1;2;02;4711;44;1175,01665444818
5373388;1;2;1;70;2;30;60;1; ;2;10;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;49;97;98;1;2;02;4921;44;847,661775517279
5373390;1;2;1;70;2;20;50;4; ;2;30;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;41;95;95;1;2;02;4111;44;847,661775517279
5373392;1;1;1;70;2;5;60;1; ;2;5;1; ;7;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;02;99;63;1;1;02;0210;44;726,887585410042
5373392;1;2;1;70;2;30;60;2; ;2;40;2; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;85;55;55;1;2;02;8521;44;726,887585410042
5373392;1;3;1;70;2;56;60;1; ;2;60;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;35;87;87;1;2;02;3511;44;726,887585410042
5373395;1;2;1;70;2;3;48;1; ;2;3;1; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;25;87;87;1;1;02;2511;44;901,5449345813
5373402;1;1;1;70;2;36;50;1; ;2;30;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;11;39;39;1;2;02;1103;44;1620,1220547914
5373411;1;3;1;70;2;6;56;1; ;2;6;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;16;95;55;1;1;02;1610;68;1087,90057792986
5373411;1;4;1;70;2;8;54;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;06;95;95;1;1;02;0610;68;1087,90057792986
5373411;1;5;1;70;2;8;54;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;06;95;95;1;1;02;0610;68;1087,90057792986
5373412;1;1;1;70;2;104;48;1; ;2;99;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;06;58;55;1;2;02;0610;68;524,042196225037
5373445;1;1;1;70;2;2;40;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;700000;2; ;41;95;95;1;1;02;4111;18;289,961134277196
5373447;1;1;1;70;2;1;46;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;600000;2; ;41;95;95;1;1;02;4111;18;416,207750227404
5373451;1;2;1;70;2;2;53;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;01;61;61;1;1;02;0161;18;638,454168481968
5376306;1;3;1;70;2;42;40;4; ;2;42;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;86;59;59;1;2;02;8610;44;704,625242641283
5376309;1;2;1;70;2;24;40;4; ;2;24;4; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;61;61;1;2;02;0161;44;1054,24246434094
5376311;1;2;1;70;2;200;48;4; ;2;200;4; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;84;11;19;1;2;02;8413;44;1016,61630464736
5376322;1;3;1;70;2;50;60;4; ;2;6;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;56;53;53;1;2;02;5619;44;702,646154220051
5376323;1;1;1;70;2;8;60;4; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;41;95;95;1;1;02;4111;44;887,2670236321
5376323;1;2;1;70;2;2;60;4; ;2;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;56;53;53;1;1;02;5611;44;887,2670236321
5376326;1;2;1;70;2;4;60;1; ;2;4;4; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;78;13;13;1;1;02;7810;44;883,297342222846
5377865;1;2;1;70;2;16;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1014000;2; ;80;32;58;1;2;02;8010;68;994,188669486041
5377874;1;1;1;70;2;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;06;87;87;1;1;02;0610;68;694,893311213939
5378247;1;2;1;70;2;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;41;95;95;1;1;02;4111;50;1100,99064383437
5378254;1;3;1;70;2;1;50;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;62;62;1;1;02;0121;50;683,227229725151
5378256;1;3;1;70;2;12;48;8; ;2;24;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;01;62;62;1;1;02;0113;50;683,227229725151
5378256;1;4;1;70;2;48;48;1; ;2;6;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;42;45;59;1;2;02;4290;50;683,227229725151
5378258;1;3;1;70;2;16;48;8; ;2;16;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;01;62;62;1;2;02;0141;50;1364,92531964361
5378262;1;2;1;70;2;3;48;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;908000;2; ;01;62;62;1;1;02;0141;50;683,227229725151
5378262;1;3;1;70;2;3;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;908000;908000;2; ;01;58;58;1;1;02;0126;50;683,227229725151
5378266;1;2;1;70;2;4;63;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;650000;2; ;41;95;95;1;1;02;4111;50;1006,89824893202
5378293;1;3;1;70;2;14;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;32;45;1;2;02;4719;50;683,227229725151
5378295;1;3;1;70;2;3;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;908000;2; ;01;62;62;1;1;02;0161;50;905,976723621239
5378300;1;1;1;70;2;3;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;1200000;2; ;41;95;95;1;1;02;4111;50;782,833769470644
5378300;1;3;1;70;2;4;48;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;908000;2; ;01;62;62;1;1;02;0141;50;782,833769470644
5378301;1;1;1;70;2;4;49;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;800000;2; ;01;62;62;1;1;02;0121;50;1293,34277481899
5378325;1;3;1;70;2;4;40;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;909000;2; ;47;45;45;1;1;02;4752;05;3010,60770369602
5378334;1;1;1;70;2;4;48;4; ;2;4;8; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;909000;2; ;01;61;62;1;1;02;0113;05;3023,53623750901
5378334;1;3;1;70;2;10;48;1; ;2;10;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;01;05;05;1;1;02;0141;05;3023,53623750901
5378392;1;2;1;70;2;104;54;1; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;49;95;98;1;2;02;4921;13;2135,91875727715
5378393;1;3;1;70;2;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;1;02;.;13;1099,90003720888
5379348;1;2;1;70;2;50;24;1; ;2;100;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;55;53;55;1;2;02;5511;44;1213,32677889403
5379349;1;1;1;70;2;36;24;1; ;2;40;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;56;53;53;1;2;02;5611;44;1403,14442436998
5379351;1;4;1;70;2;4;50;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;61;61;1;1;02;0121;50;1332,43823786861
5379377;1;3;1;70;2;8;72;3; ;2;8;3; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;995000;2; ;97;54;54;1;1;02;9700;13;1873,78928234869
5379425;1;2;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;21; ;1;2;02;.;18;582,614912177487
5379429;1;1;1;70;2;40;40;3; ;2;66;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;600000;2; ;97;54;54;1;2;02;9700;18;597,32508419597
5379430;1;1;1;70;2;6;48;4; ;2;6;4; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;84;18;18;1;1;02;8413;18;638,454168481968
5379430;1;3;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;45; ;1;1;02;.;18;638,454168481968
5379439;1;1;1;70;2;8;48;4; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;900000;2; ;01;61;61;1;1;02;0141;18;597,822385751812
5379440;1;3;1;70;2;8;48;1; ;2;48;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;32;45;1;1;02;4719;18;304,982157766083
5379441;1;5;1;70;2;24;48;3; ;2;26;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;54;54;1;2;02;9700;18;349,339210367809
5379458;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ; ;57; ;1;1;02;.;18;416,207750227404
5379459;1;1;1;70;2;3;48;4; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;600000;2; ;01;61;62;1;1;02;0141;18;638,454168481968
5379459;1;3;1;70;2;12;48;4; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;61;60;1;1;02;0141;18;638,454168481968
5379477;1;2;1;70;2;3;46;4; ;2;9;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;01;98;61;1;1;02;0161;18;271,466675575408
5379483;1;2;1;70;2;16;40;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;85;45;59;1;2;02;8559;18;271,466675575408
5379483;1;3;1;70;2;9;40;1; ;2;14;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;47;45;45;1;1;02;4773;18;271,466675575408
5379499;1;1;1;70;2;3;52;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;300000;2; ;01;61;61;1;1;02;0161;18;361,797700599609
5379506;1;1;1;70;2;4;42;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;300000;2; ;01;61;61;1;1;02;0161;18;340,098227900179
5379509;1;3;1;70;2;10;40;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;85;59;59;1;1;02;8511;18;1894,75032616796
5379512;1;1;1;70;2;10;49;3; ;2;9;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;81;54;54;1;1;02;8121;18;1017,53063615396
5379514;1;1;1;70;2;16;46;4; ;2;30;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;01;61;61;1;2;02;0161;18;2466,99509403335
5379515;1;3;1;70;2;1;46;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;400000;2; ;01;61;61;1;1;02;0161;18;2044,2327111065
5379515;1;4;1;70;2;16;46;1; ;2;60;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;64;39;44;1;2;02;6412;18;2044,2327111065
5382182;1;1;1;70;2;44;48;4; ;2;44;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;01;61;61;1;2;02;0122;47;2439,33373262439
5382183;1;2;1;70;2;6;48;4; ;2;132;1; ;2;2;7; ; ; ; ; ; ; ;1; ; ; ;2; ;1000000;2; ;85;41;59;1;1;02;8511;47;1602,89506081198
5382183;1;3;1;70;2;6;48;1; ;2;11;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1014980;2; ;47;45;45;1;1;02;4723;47;1602,89506081198
5382193;1;1;1;70;2;8;48;1; ;2;44;4; ;1;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1014908;2; ;88;13;54;1;1;02;8890;47;2378,03252170251
5382198;1;3;1;70;2;8;48;1; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;32;54;1;1;02;9700;47;1949,53134147783
5382210;1;7;1;70;2;10;40;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;56;53;99;1;1;02;5619;47;2166,80730981253
5382302;1;1;1;70;2;1;40;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;500000;2; ;02;61;41;1;1;02;0220;70;1237,84964629603
5382307;1;4;1;70;2;3;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ; ;45; ;1;1;02;.;70;960,877785222102
5382312;1;3;1;70;2;4;30;9;A;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ; ;54; ;1;1;02;.;70;1261,21756249664
5382325;1;4;1;70;2;8;40;4; ;2;8;4; ;9;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;1400000;2; ;88;13;13;1;1;02;8890;70;705,549382760874
5382325;1;5;1;70;2;12;40;1; ;2;54;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;59;45;1;1;02;5619;70;705,549382760874
5384506;1;3;1;70;2;12;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;15;97;97;1;1;02;1511;63;3010,60770369602
5384507;1;1;1;70;2;52;50;1; ;2;12;1; ;2;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;95;58;1;2;02;6820;63;4007,0808192155
5384512;1;1;1;70;2;24;40;3; ;2;132;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;81;55;55;1;2;02;8121;63;4599,75550166543
5384522;1;1;1;70;2;32;48;1; ;2;102;1; ;4;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;1000000;1;1;55;50;50;1;2;02;5511;63;2153,01817220668
5384524;1;1;1;70;2;12;45;8; ;2;12;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;62;62;1;1;02;0123;63;4007,0808192155
5384525;1;1;1;70;2;35;48;1; ;2;30;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;01;95;39;1;2;02;0121;63;7086,07129735667
5384526;1;3;1;70;2;64;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;56;58;53;1;2;02;5613;63;4615,80876001314
5384528;1;1;1;70;2;4;50;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;440000;440000;2; ;01;62;62;1;1;02;0122;63;3010,60770369602
5384533;1;3;1;70;2;24;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;97;1;2;02;4711;63;4391,00835342664
5384627;1;1;1;70;2;16;48;1; ;2;16;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;84;60;03;1;2;02;8412;19;3733,41635148405
5384627;1;3;1;70;2;52;48;1; ;2;52;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;70;33;33;1;2;02;7010;19;3733,41635148405
5384638;1;3;1;70;2;48;40;1; ;2;48;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;85;33;32;1;2;02;8530;19;1371,04183517081
5384691;1;1;1;70;2;156;48;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;41;62;95;1;2;02;4111;19;3440,36272318226
5384745;1;1;1;70;2;12;40;3; ;2;40;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;55;54;54;1;1;02;5511;19;3295,81841815259
5384749;1;2;1;70;2;5;40;2; ;2;5;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;4000000;3000000;2; ;84;13;13;1;1;02;8413;19;3378,47812432749
5384773;1;2;1;70;2;48;40;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;56;53;53;1;2;02;5619;19;906,314782660611
5384773;1;3;1;70;2;40;40;1; ;2;40;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;56;53;53;1;2;02;5619;19;906,314782660611
5384777;1;3;1;70;2;156;40;1; ;2;164;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;86;53;59;1;2;02;8699;19;2797,46002228266
5384779;1;2;1;70;2;42;40;3; ;2;42;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;81;54;54;1;2;02;8121;19;1494,41724585694
5384797;2;1;2;70;2;28;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;750000; ; ; ;55; ;1;2;02;.;19;2342,96564030881
5384798;1;3;1;70;2;48;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ; ;39; ;1;2;02;.;19;1059,76226332592
5384799;1;1;1;70;2;24;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;906500; ; ; ;58; ;1;2;02;.;19;1611,36639336902
5384800;1;1;1;70;2;104;40;1; ;2;32;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;92;55;45;1;2;02;9200;19;962,835182607572
5384801;1;1;1;70;2;32;48;3; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;81;54;55;1;2;02;8121;19;1771,46500098318
5384802;1;2;1;70;2;8;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;906300; ; ; ;55; ;1;1;02;.;19;2511,37694273496
5384804;1;2;1;70;2;52;40;3; ;2;410;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906500;2; ;97;54;54;1;2;02;9700;19;1411,41375356862
5384846;1;3;1;70;2;104;40;1; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;97;03;55;1;2;02;9700;19;1814,90089160919
5384847;1;3;1;70;2;104;40;1; ;2;96;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;56;05;97;1;2;02;5629;19;1286,33457859544
5384850;1;4;1;70;2;48;40;1; ;2;47;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;96;57;57;1;2;02;9602;19;1868,39208170153
5384862;1;5;1;70;2;32;40;3; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906500;2; ;56;54;45;1;2;02;5619;19;2094,1644758476
5384865;1;4;1;70;2;24;40;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;850000;2; ;97;54;54;1;2;02;9700;19;906,314782660611
5384868;1;1;1;70;2;24;40;1; ;2;24;4; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;94;97;19;1;2;02;9499;19;2929,5320931532
5384868;1;2;1;70;2;48;48;1; ;2;48;4; ;6;2;7; ; ;1; ; ; ; ; ; ; ; ;2; ;906300;1;1;93;18;18;1;2;02;9312;19;2929,5320931532
5384868;1;3;1;70;2;6;40;1; ;2;6;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;52;97;97;1;1;02;5224;19;2929,5320931532
5384870;1;3;1;70;2;24;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;906500; ; ; ;97; ;1;2;02;.;19;2020,83388631243
5384871;1;1;1;70;2;48;40;1; ;2;48;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;23;97;89;1;2;02;2392;19;2972,96798377922
5384872;1;2;1;70;2;32;40;1; ;2;104;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;906500;2; ;97;97;54;1;2;02;9700;19;2136,12896130909
5384879;1;2;1;70;2;40;8;1; ;2;12;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906500;2; ;85;33;13;1;2;02;8513;19;1991,25704022642
5384880;1;4;1;70;2;156;40;3; ;2;156;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;97;54;54;1;2;02;9700;19;1603,05369855702
5384882;1;2;1;70;2;2;40;1; ;2;2;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;906300;906300;2; ;23;89;89;1;1;02;2392;19;2265,90791155348
5384885;1;1;1;70;2;25;40;1; ;2;25;2; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;600000;2; ;84;55;55;1;2;02;8412;19;3625,25913064245
5384886;1;1;1;70;2;6;40;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906300;2; ;97;54;54;1;1;02;9700;19;906,314782660611
5384886;1;2;1;70;2;16;40;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;41;55;55;1;2;02;4111;19;906,314782660611
5384887;1;3;1;70;2;32;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;906500;2; ;10;58;62;1;2;02;1071;19;906,314782660611
